q seq id	s seq id	percent id	length	mismatch	gap open	q start	q end	s start	s end	e-value	bit score 
g1435	lcl|NW_015622821.1_prot_XP_016263998.1_5342	100	483	0	0	1	483	79	561	0	1003
g1436	lcl|NW_015622820.1_prot_XP_016264979.1_3524	37.071	437	253	9	30	458	181	603	2.38E-84	270
g1437	lcl|NW_015622821.1_prot_XP_016263999.1_5343	100	416	0	0	1	416	79	494	0	865
g1438	lcl|NW_015622821.1_prot_XP_016264000.1_5344	100	488	0	0	317	804	53	540	0	1010
g1439	lcl|NW_015622821.1_prot_XP_016264003.1_5347	100	25	0	0	1	25	79	103	5.19E-12	52.8
g144	lcl|NW_015622818.1_prot_XP_016267722.1_219	100	179	0	0	1	179	79	257	3.40E-131	367
g1440	lcl|NW_015622821.1_prot_XP_016264004.1_5348	100	566	0	0	406	971	1	566	0	1163
g1441	lcl|NW_015622821.1_prot_XP_016264008.1_5352	100	102	0	0	1	102	79	180	4.17E-73	213
g1442	lcl|NW_015622821.1_prot_XP_016264009.1_5353	100	438	0	0	1	438	112	549	0	917
g1443	lcl|NW_015622821.1_prot_XP_016264010.1_5354	100	663	0	0	1	663	79	741	0	1351
g1444	lcl|NW_015622821.1_prot_XP_016264011.1_5355	100	422	0	0	1	422	79	500	0	885
g1447	lcl|NW_015622821.1_prot_XP_016264013.1_5357	100	276	0	0	1	276	79	354	0	581
g1448	lcl|NW_015622821.1_prot_XP_016264014.1_5358	100	88	0	0	1	88	95	182	2.62E-62	186
g1449	lcl|NW_015622821.1_prot_XP_016264015.1_5359	100	384	0	0	1	384	6	389	0	795
g145	lcl|NW_015622818.1_prot_XP_016267723.1_220	100	222	0	0	20	241	1	222	2.05E-167	459
g1450	lcl|NW_015622821.1_prot_XP_016264016.1_5360	100	132	0	0	20	151	1	132	1.05E-97	276
g1451	lcl|NW_015622821.1_prot_XP_016264017.1_5361	100	207	0	0	1	207	79	285	7.38E-151	419
g1452	lcl|NW_015622821.1_prot_XP_016264018.1_5362	100	361	0	0	1	361	79	439	0	743
g1453	lcl|NW_015622821.1_prot_XP_016264019.1_5363	100	543	0	0	1	543	79	621	0	1127
g1454	lcl|NW_015622821.1_prot_XP_016264020.1_5364	100	486	0	0	1	486	79	564	0	1010
g1455	lcl|NW_015622821.1_prot_XP_016264021.1_5365	96.099	487	0	1	1	487	79	546	0	947
g1456	lcl|NW_015622821.1_prot_XP_016264022.1_5366	100	585	0	0	1	585	79	663	0	1203
g1457	lcl|NW_015622821.1_prot_XP_016263541.1_4885	76.705	176	38	1	8	183	89	261	6.69E-103	295
g1458	lcl|NW_015622821.1_prot_XP_016264025.1_5369	100	911	0	0	82	992	81	991	0	1892
g1459	lcl|NW_015622821.1_prot_XP_016264026.1_5370	100	45	0	0	1	45	79	123	2.88E-26	90.5
g146	lcl|NW_015622818.1_prot_XP_016267724.1_221	92.421	409	0	1	1	378	79	487	0	764
g1460	lcl|NW_015622821.1_prot_XP_016264027.1_5371	100	589	0	0	9	597	165	753	0	1228
g1461	lcl|NW_015622824.1_prot_XP_016260328.1_8124	49.265	272	127	5	2	272	76	337	9.27E-82	248
g1462	lcl|NW_015622821.1_prot_XP_016264028.1_5372	100	209	0	0	1	209	79	287	7.96E-151	419
g1463	lcl|NW_015622821.1_prot_XP_016264030.1_5374	100	78	0	0	1	78	79	156	7.52E-55	165
g1464	lcl|NW_015622821.1_prot_XP_016264031.1_5375	100	482	0	0	1	482	79	560	0	991
g1465	lcl|NW_015622821.1_prot_XP_016264032.1_5376	100	380	0	0	1	380	79	458	0	784
g1466	lcl|NW_015622819.1_prot_XP_016266247.1_1900	100	387	0	0	1	387	79	465	0	800
g1467	lcl|NW_015622819.1_prot_XP_016266248.1_1901	100	596	0	0	1	596	79	674	0	1238
g1468	lcl|NW_015622819.1_prot_XP_016266249.1_1902	100	508	0	0	1	508	164	671	0	1048
g1469	lcl|NW_015622821.1_prot_XP_016263780.1_5124	54.167	336	148	2	1	331	79	413	7.71E-128	372
g147	lcl|NW_015622818.1_prot_XP_016267725.1_222	100	526	0	0	42	567	1	526	0	1084
g1470	lcl|NW_015622819.1_prot_XP_016266251.1_1904	100	170	0	0	1	170	79	248	3.23E-125	351
g1471	lcl|NW_015622819.1_prot_XP_016266252.1_1905	100	414	0	0	1	414	79	492	0	831
g1472	lcl|NW_015622819.1_prot_XP_016266253.1_1906	100	414	0	0	1	414	79	492	0	852
g1473	lcl|NW_015622819.1_prot_XP_016266254.1_1907	100	555	0	0	1	555	79	633	0	1137
g1474	lcl|NW_015622819.1_prot_XP_016266255.1_1908	100	242	0	0	1	242	79	320	5.92E-180	495
g1475	lcl|NW_015622827.1_prot_XP_016258750.1_10493	29.358	218	137	7	9	212	79	293	3.21E-17	77.8
g1476	lcl|NW_015622819.1_prot_XP_016266256.1_1909	100	989	0	0	1	989	86	1074	0	2055
g1477	lcl|NW_015622819.1_prot_XP_016266257.1_1910	100	29	0	0	1	29	79	107	4.87E-15	60.8
g1478	lcl|NW_015622819.1_prot_XP_016266258.1_1911	100	279	0	0	1	279	79	357	0	581
g1479	lcl|NW_015622819.1_prot_XP_016266259.1_1912	100	116	0	0	1	116	79	194	7.06E-81	234
g148	lcl|NW_015622818.1_prot_XP_016267726.1_223	100	1227	0	0	1	1227	79	1305	0	2529
g1480	lcl|NW_015622819.1_prot_XP_016266260.1_1913	100	152	0	0	1	152	79	230	1.08E-115	325
g1481	lcl|NW_015622819.1_prot_XP_016266261.1_1914	97.406	771	0	1	1	751	79	849	0	1528
g1482	lcl|NW_015622819.1_prot_XP_016266262.1_1915	100	526	0	0	1	526	79	604	0	1090
g1483	lcl|NW_015622819.1_prot_XP_016266263.1_1916	100	145	0	0	1	145	79	223	9.23E-102	289
g1484	lcl|NW_015622819.1_prot_XP_016266264.1_1917	100	482	0	0	1	482	138	619	0	1003
g1485	lcl|NW_015622819.1_prot_XP_016266265.1_1918	94.203	345	2	1	1	327	79	423	0	656
g1486	lcl|NW_015622826.1_prot_XP_016259250.1_9778	49.679	312	149	5	3	310	724	1031	2.48E-98	310
g1487	lcl|NW_015622820.1_prot_XP_016264630.1_3175	44.531	512	272	9	1	505	132	638	3.65E-163	476
g1488	lcl|NW_015622820.1_prot_XP_016264648.1_3193	55.324	479	204	6	1	470	76	553	0	529
g1489	lcl|NW_015622820.1_prot_XP_016265086.1_3631	44.037	436	230	4	184	614	2	428	1.20E-127	384
g149	lcl|NW_015622827.1_prot_XP_016258451.1_10194	36.812	345	176	7	1	319	80	408	9.85E-57	189
g1490	lcl|NW_015622820.1_prot_XP_016264649.1_3194	39.961	518	291	8	10	523	134	635	5.71E-128	411
g1491	lcl|NW_015622828.1_prot_XP_016258162.1_10958	30.5	200	124	4	1	193	76	267	2.21E-27	103
g1492	lcl|NW_015622819.1_prot_XP_016266266.1_1919	100	142	0	0	1	142	79	220	1.22E-104	296
g1493	lcl|NW_015622819.1_prot_XP_016266267.1_1920	100	492	0	0	1	492	79	570	0	994
g1494	lcl|NW_015622828.1_prot_XP_016258162.1_10958	30	160	90	3	20	172	113	257	7.49E-21	86.3
g1495	lcl|NW_015622819.1_prot_XP_016266268.1_1921	100	599	0	0	1	599	126	724	0	1241
g1496	lcl|NW_015622819.1_prot_XP_016266269.1_1922	100	296	0	0	1	296	79	374	0	616
g1497	lcl|NW_015622819.1_prot_XP_016266270.1_1923	94.483	435	0	1	1	411	79	513	0	825
g1498	lcl|NW_015622819.1_prot_XP_016266271.1_1924	100	208	0	0	1	208	79	286	1.08E-156	433
g1499	lcl|NW_015622819.1_prot_XP_016266272.1_1925	100	582	0	0	1	582	79	660	0	1214
g15	lcl|NW_015622830.1_prot_XP_016257637.1_11567	100	189	0	0	1	189	116	304	6.68E-140	391
g150	lcl|NW_015622818.1_prot_XP_016267728.1_225	100	888	0	0	611	1498	1	888	0	1855
g1500	lcl|NW_015622819.1_prot_XP_016266273.1_1926	100	410	0	0	1	410	79	488	0	834
g1501	lcl|NW_015622819.1_prot_XP_016266274.1_1927	100	209	0	0	1	209	79	287	5.20E-156	432
g1502	lcl|NW_015622819.1_prot_XP_016266275.1_1928	100	221	0	0	1	221	204	424	2.10E-163	456
g1503	lcl|NW_015622819.1_prot_XP_016266276.1_1929	100	514	0	0	1	514	79	592	0	1043
g1504	lcl|NW_015622820.1_prot_XP_016265529.1_4074	45.009	551	286	10	1	543	86	627	8.86E-154	453
g1505	lcl|NW_015622823.1_prot_XP_016261863.1_7933	27.607	489	298	11	16	485	172	623	6.88E-43	160
g1506	lcl|NW_015622818.1_prot_XP_016268043.1_540	38.719	359	201	8	10	356	167	518	1.67E-77	248
g1507	lcl|NW_015622819.1_prot_XP_016266278.1_1931	100	1054	0	0	1	1054	79	1132	0	2155
g1508	lcl|NW_015622819.1_prot_XP_016266279.1_1932	100	576	0	0	1	576	79	654	0	1189
g1509	lcl|NW_015622819.1_prot_XP_016266280.1_1933	100	305	0	0	1	305	79	383	0	634
g1510	lcl|NW_015622819.1_prot_XP_016266281.1_1934	100	332	0	0	1	332	79	410	0	684
g1512	lcl|NW_015622819.1_prot_XP_016266282.1_1935	100	162	0	0	1	162	79	240	5.25E-121	339
g1513	lcl|NW_015622819.1_prot_XP_016266283.1_1936	100	507	0	0	1	507	79	585	0	1023
g1514	lcl|NW_015622819.1_prot_XP_016266284.1_1937	100	218	0	0	1	218	79	296	2.73E-162	448
g1515	lcl|NW_015622819.1_prot_XP_016266286.1_1939	100	303	0	0	1	303	79	381	0	628
g1516	lcl|NW_015622819.1_prot_XP_016266287.1_1940	100	466	0	0	1	466	79	544	0	953
g1517	lcl|NW_015622819.1_prot_XP_016266288.1_1941	100	755	0	0	1	755	133	887	0	1546
g1518	lcl|NW_015622819.1_prot_XP_016266289.1_1942	100	724	0	0	1	724	91	814	0	1517
g1519	lcl|NW_015622819.1_prot_XP_016266290.1_1943	100	96	0	0	1	96	151	246	1.48E-64	196
g152	lcl|NW_015622818.1_prot_XP_016267731.1_228	100	460	0	0	1	460	79	538	0	932
g1520	lcl|NW_015622819.1_prot_XP_016266291.1_1944	100	502	0	0	1	502	79	580	0	1002
g1522	lcl|NW_015622819.1_prot_XP_016266294.1_1947	96.93	228	6	1	1	228	79	305	7.30E-159	449
g1523	lcl|NW_015622835.1_prot_XP_016256953.1_12190	39.92	501	293	5	1	496	87	584	2.20E-129	387
g1524	lcl|NW_015622819.1_prot_XP_016266295.1_1948	99.835	605	0	1	1	605	127	730	0	1246
g1525	lcl|NW_015622819.1_prot_XP_016266296.1_1949	100	1146	0	0	1	1146	79	1224	0	2384
g1526	lcl|NW_015622819.1_prot_XP_016266297.1_1950	100	913	0	0	1	913	79	991	0	1898
g1527	lcl|NW_015622819.1_prot_XP_016266298.1_1951	100	443	0	0	1	443	79	521	0	905
g1529	lcl|NW_015622819.1_prot_XP_016266299.1_1952	100	610	0	0	1	610	79	688	0	1261
g153	lcl|NW_015622818.1_prot_XP_016267732.1_229	100	201	0	0	1	201	79	279	3.66E-146	406
g1530	lcl|NW_015622819.1_prot_XP_016266302.1_1955	100	819	0	0	673	1491	1	819	0	1675
g1531	lcl|NW_015622825.1_prot_XP_016260121.1_9363	26.371	383	228	14	1	364	110	457	5.06E-24	103
g1532	lcl|NW_015622819.1_prot_XP_016266303.1_1956	100	99	0	0	1	99	79	177	2.28E-67	210
g1533	lcl|NW_015622822.1_prot_XP_016262856.1_6802	100	129	0	0	1	129	76	204	1.53E-92	265
g1535	lcl|NW_015622820.1_prot_XP_016265838.1_4383	36	50	32	0	1	50	110	159	5.97E-04	37
g1536	lcl|NW_015622822.1_prot_XP_016262854.1_6800	92.647	272	0	1	1	252	79	350	0	501
g1537	lcl|NW_015622822.1_prot_XP_016262853.1_6799	92.786	402	0	2	1	400	79	453	0	741
g1538	lcl|NW_015622822.1_prot_XP_016262852.1_6798	100	828	0	0	1	828	79	906	0	1711
g1539	lcl|NW_015622822.1_prot_XP_016262849.1_6795	100	465	0	0	1	465	261	725	0	963
g154	lcl|NW_015622818.1_prot_XP_016267734.1_231	94.712	624	13	2	15	638	11	614	0	1211
g1540	lcl|NW_015622822.1_prot_XP_016262848.1_6794	100	182	0	0	1	182	79	260	3.11E-133	372
g1541	lcl|NW_015622822.1_prot_XP_016262847.1_6793	100	185	0	0	1	185	79	263	2.14E-138	385
g1542	lcl|NW_015622822.1_prot_XP_016262846.1_6792	100	170	0	0	1	170	79	248	7.10E-125	350
g1543	lcl|NW_015622822.1_prot_XP_016262845.1_6791	100	1262	0	0	1	1262	79	1340	0	2577
g1544	lcl|NW_015622822.1_prot_XP_016262844.1_6790	100	469	0	0	1	469	79	547	0	961
g1545	lcl|NW_015622822.1_prot_XP_016262843.1_6789	100	628	0	0	1	628	45	672	0	1305
g1546	lcl|NW_015622822.1_prot_XP_016262842.1_6788	99.618	262	1	0	1	262	79	340	0	550
g1547	lcl|NW_015622822.1_prot_XP_016262841.1_6787	100	1267	0	0	1	1267	79	1345	0	2554
g1548	lcl|NW_015622822.1_prot_XP_016262840.1_6786	100	648	0	0	1	648	55	702	0	1306
g1549	lcl|NW_015622822.1_prot_XP_016262838.1_6784	100	466	0	0	1	466	79	544	0	974
g155	lcl|NW_015622821.1_prot_XP_016264526.1_5870	43.277	238	120	6	1	226	106	340	6.03E-59	189
g1550	lcl|NW_015622822.1_prot_XP_016262836.1_6782	100	194	0	0	1	194	79	272	5.43E-143	397
g1551	lcl|NW_015622822.1_prot_XP_016262835.1_6781	100	673	0	0	1	673	79	751	0	1403
g1552	lcl|NW_015622822.1_prot_XP_016262834.1_6780	94.51	255	1	1	1	255	79	320	3.70E-179	494
g1553	lcl|NW_015622831.1_prot_XP_016257470.1_11712	49.462	186	64	2	6	191	159	314	1.50E-45	152
g1554	lcl|NW_015622822.1_prot_XP_016262833.1_6779	100	619	0	0	1	619	79	697	0	1265
g1555	lcl|NW_015622822.1_prot_XP_016262832.1_6778	100	450	0	0	1	450	79	528	0	914
g1556	lcl|NW_015622822.1_prot_XP_016262831.1_6777	100	1109	0	0	1	1109	79	1187	0	2291
g1557	lcl|NW_015622822.1_prot_XP_016262830.1_6776	100	452	0	0	1	452	79	530	0	931
g1558	lcl|NW_015622822.1_prot_XP_016262829.1_6775	100	196	0	0	1	196	79	274	5.20E-145	403
g1559	lcl|NW_015622822.1_prot_XP_016262828.1_6774	100	264	0	0	1	264	79	342	0	537
g156	lcl|NW_015622820.1_prot_XP_016264964.1_3509	55.49	337	111	5	1	306	93	421	4.21E-125	363
g1560	lcl|NW_015622822.1_prot_XP_016262827.1_6773	100	224	0	0	1	224	79	302	5.88E-169	466
g1561	lcl|NW_015622822.1_prot_XP_016262826.1_6772	100	79	0	0	1	79	79	157	2.95E-54	164
g1562	lcl|NW_015622822.1_prot_XP_016262825.1_6771	100	968	0	0	343	1310	1	968	0	1981
g1563	lcl|NW_015622822.1_prot_XP_016262824.1_6770	100	455	0	0	1	455	79	533	0	936
g1564	lcl|NW_015622822.1_prot_XP_016262823.1_6769	100	641	0	0	1	641	79	719	0	1313
g1565	lcl|NW_015622822.1_prot_XP_016262822.1_6768	99.807	519	1	0	1	519	79	597	0	1080
g1566	lcl|NW_015622822.1_prot_XP_016262821.1_6767	100	99	0	0	1	99	255	353	3.48E-70	211
g1567	lcl|NW_015622825.1_prot_XP_016260242.1_9484	36.17	47	30	0	1	47	85	131	8.63E-05	35.8
g1568	lcl|NW_015622825.1_prot_XP_016260241.1_9483	30.576	278	171	9	31	292	99	370	1.37E-26	108
g1569	lcl|NW_015622825.1_prot_XP_016260240.1_9482	47.393	211	92	2	4	195	72	282	1.68E-64	200
g157	lcl|NW_015622818.1_prot_XP_016267735.1_232	100	323	0	0	1	323	224	546	0	667
g1570	lcl|NW_015622822.1_prot_XP_016262820.1_6766	98.926	745	0	1	98	834	1	745	0	1511
g1571	lcl|NW_015622822.1_prot_XP_016262819.1_6765	100	548	0	0	1	548	78	625	0	1134
g1572	lcl|NW_015622819.1_prot_XP_016267480.1_3133	38.596	627	349	11	15	621	95	705	2.43E-131	400
g1573	lcl|NW_015622825.1_prot_XP_016260238.1_9480	39.104	491	296	3	2	489	59	549	3.29E-121	366
g1574	lcl|NW_015622822.1_prot_XP_016262818.1_6764	100	460	0	0	1	460	79	538	0	928
g1576	lcl|NW_015622822.1_prot_XP_016262816.1_6762	99.947	1875	1	0	1	1875	79	1953	0	3897
g1578	lcl|NW_015622822.1_prot_XP_016262814.1_6760	100	144	0	0	1	144	114	257	1.43E-99	285
g1579	lcl|NW_015622822.1_prot_XP_016262813.1_6759	100	974	0	0	1	974	79	1052	0	1980
g158	lcl|NW_015622818.1_prot_XP_016267736.1_233	100	214	0	0	1	214	78	291	1.93E-160	443
g1580	lcl|NW_015622818.1_prot_XP_016268758.1_1255	70.041	484	145	0	1	484	71	554	0	736
g1581	lcl|NW_015622821.1_prot_XP_016263860.1_5204	32.477	428	240	14	1	420	66	452	9.98E-62	207
g1582	lcl|NW_015622822.1_prot_XP_016262812.1_6758	100	727	0	0	1	727	79	805	0	1459
g1583	lcl|NW_015622822.1_prot_XP_016262811.1_6757	100	1019	0	0	1	1019	79	1097	0	2112
g1584	lcl|NW_015622822.1_prot_XP_016262810.1_6756	100	735	0	0	1	735	79	813	0	1526
g1585	lcl|NW_015622822.1_prot_XP_016262807.1_6753	100	318	0	0	26	343	19	336	0	655
g1586	lcl|NW_015622822.1_prot_XP_016262805.1_6751	100	293	0	0	1	293	79	371	0	574
g1587	lcl|NW_015622822.1_prot_XP_016262804.1_6750	96.887	257	4	1	1	257	79	331	0	508
g1588	lcl|NW_015622822.1_prot_XP_016262803.1_6749	100	370	0	0	1	370	106	475	0	775
g1589	lcl|NW_015622822.1_prot_XP_016262802.1_6748	100	431	0	0	1	431	79	509	0	877
g159	lcl|NW_015622818.1_prot_XP_016267737.1_234	100	394	0	0	62	455	1	394	0	818
g1590	lcl|NW_015622822.1_prot_XP_016262801.1_6747	99.832	595	0	1	1	594	79	673	0	1179
g1591	lcl|NW_015622822.1_prot_XP_016262800.1_6746	100	604	0	0	1	604	79	682	0	1262
g1592	lcl|NW_015622822.1_prot_XP_016262799.1_6745	100	382	0	0	1	382	79	460	0	769
g1593	lcl|NW_015622822.1_prot_XP_016262797.1_6743	100	571	0	0	92	662	1	571	0	1183
g1594	lcl|NW_015622822.1_prot_XP_016262794.1_6740	99.387	326	2	0	1	326	79	404	0	650
g1595	lcl|NW_015622818.1_prot_XP_016268676.1_1173	100	226	0	0	1	226	79	304	4.01E-172	474
g1596	lcl|NW_015622818.1_prot_XP_016268675.1_1172	100	787	0	0	1	787	98	884	0	1609
g1598	lcl|NW_015622823.1_prot_XP_016261841.1_7911	44.108	297	161	4	25	319	102	395	1.06E-76	239
g1599	lcl|NW_015622818.1_prot_XP_016268673.1_1170	100	188	0	0	1	188	79	266	3.58E-141	392
g16	lcl|NW_015622830.1_prot_XP_016257636.1_11566	100	288	0	0	1	288	79	366	0	587
g160	lcl|NW_015622818.1_prot_XP_016267738.1_235	96.627	830	0	2	1	830	79	880	0	1638
g1600	lcl|NW_015622837.1_prot_XP_016256852.1_12326	38.084	407	209	9	1	397	74	447	1.40E-81	263
g1601	lcl|NW_015622823.1_prot_XP_016261859.1_7929	30.851	282	125	5	35	247	141	421	6.82E-28	109
g1602	lcl|NW_015622818.1_prot_XP_016268672.1_1169	100	315	0	0	1	315	79	393	0	639
g1603	lcl|NW_015622818.1_prot_XP_016268671.1_1168	100	375	0	0	1	375	79	453	0	776
g1604	lcl|NW_015622818.1_prot_XP_016268670.1_1167	100	207	0	0	1	207	79	285	4.08E-149	414
g1605	lcl|NW_015622818.1_prot_XP_016268669.1_1166	100	85	0	0	1	85	141	225	1.54E-57	175
g1606	lcl|NW_015622818.1_prot_XP_016268668.1_1165	98.643	1105	0	1	1	1090	79	1183	0	2191
g1607	lcl|NW_015622818.1_prot_XP_016268667.1_1164	100	188	0	0	1	188	79	266	2.42E-144	400
g1608	lcl|NW_015622818.1_prot_XP_016268666.1_1163	99.765	425	1	0	1	425	79	503	0	866
g1609	lcl|NW_015622818.1_prot_XP_016268665.1_1162	100	220	0	0	1	220	225	444	1.70E-159	447
g161	lcl|NW_015622818.1_prot_XP_016267740.1_237	100	1359	0	0	1	1359	63	1421	0	2827
g1610	lcl|NW_015622821.1_prot_XP_016263910.1_5254	45.882	425	228	1	1	423	81	505	2.27E-144	420
g1611	lcl|NW_015622818.1_prot_XP_016268664.1_1161	100	247	0	0	1	247	485	731	3.44E-176	501
g1612	lcl|NW_015622819.1_prot_XP_016266270.1_1923	38.902	437	257	4	9	443	84	512	1.69E-103	317
g1613	lcl|NW_015622818.1_prot_XP_016268663.1_1160	100	486	0	0	1	486	79	564	0	1010
g1614	lcl|NW_015622828.1_prot_XP_016258328.1_11124	33.891	239	125	7	1	221	109	332	1.36E-33	124
g1615	lcl|NW_015622818.1_prot_XP_016268662.1_1159	100	426	0	0	1	426	79	504	0	872
g1616	lcl|NW_015622818.1_prot_XP_016268660.1_1157	100	417	0	0	1	417	141	557	0	869
g1617	lcl|NW_015622818.1_prot_XP_016268659.1_1156	100	120	0	0	1	120	79	198	6.05E-87	250
g1618	lcl|NW_015622818.1_prot_XP_016268658.1_1155	100	329	0	0	1	329	79	407	0	684
g1619	lcl|NW_015622818.1_prot_XP_016268657.1_1154	100	162	0	0	1	162	79	240	5.25E-122	342
g162	lcl|NW_015622818.1_prot_XP_016267741.1_238	100	899	0	0	1	899	62	960	0	1852
g1620	lcl|NW_015622818.1_prot_XP_016268656.1_1153	100	177	0	0	1	177	79	255	3.48E-133	371
g1621	lcl|NW_015622818.1_prot_XP_016268655.1_1152	100	707	0	0	1	707	95	801	0	1468
g1622	lcl|NW_015622818.1_prot_XP_016268653.1_1150	100	230	0	0	1	230	79	308	9.54E-170	468
g1623	lcl|NW_015622818.1_prot_XP_016268652.1_1149	100	402	0	0	1	402	79	480	0	828
g1624	lcl|NW_015622818.1_prot_XP_016268651.1_1148	100	1950	0	0	1	1950	79	2028	0	3996
g1625	lcl|NW_015622818.1_prot_XP_016268650.1_1147	100	410	0	0	1	410	79	488	0	839
g1626	lcl|NW_015622818.1_prot_XP_016268649.1_1146	100	168	0	0	1	168	81	248	3.38E-122	343
g1627	lcl|NW_015622818.1_prot_XP_016268647.1_1144	99.187	615	3	1	1	613	62	676	0	1288
g1628	lcl|NW_015622818.1_prot_XP_016268646.1_1143	100	536	0	0	1	536	99	634	0	1119
g1629	lcl|NW_015622818.1_prot_XP_016268645.1_1142	100	1119	0	0	1	1119	79	1197	0	2308
g163	lcl|NW_015622818.1_prot_XP_016267742.1_239	100	150	0	0	1	150	110	259	1.04E-105	301
g1630	lcl|NW_015622818.1_prot_XP_016268644.1_1141	100	31	0	0	1	31	79	109	2.18E-16	64.3
g1631	lcl|NW_015622818.1_prot_XP_016268643.1_1140	100	354	0	0	56	409	1	354	0	721
g1632	lcl|NW_015622818.1_prot_XP_016268641.1_1138	100	494	0	0	1	494	48	541	0	1023
g1633	lcl|NW_015622818.1_prot_XP_016268639.1_1136	100	31	0	0	1	31	79	109	4.63E-17	66.2
g1634	lcl|NW_015622818.1_prot_XP_016268637.1_1134	100	492	0	0	1	492	79	570	0	1013
g1635	lcl|NW_015622818.1_prot_XP_016268636.1_1133	100	436	0	0	1	436	159	594	0	914
g1636	lcl|NW_015622818.1_prot_XP_016268635.1_1132	98.462	325	5	0	363	687	193	517	0	677
g1637	lcl|NW_015622833.1_prot_XP_016257141.1_11966	38.066	486	292	6	1	481	81	562	1.65E-99	309
g1638	lcl|NW_015622818.1_prot_XP_016268634.1_1131	99.764	423	1	0	1	423	79	501	0	870
g1639	lcl|NW_015622818.1_prot_XP_016268633.1_1130	92.989	542	8	1	1	542	123	634	0	1028
g164	lcl|NW_015622818.1_prot_XP_016267743.1_240	100	47	0	0	1	47	79	125	3.62E-29	98.2
g1640	lcl|NW_015622818.1_prot_XP_016268632.1_1129	100	307	0	0	1	307	79	385	0	644
g1641	lcl|NW_015622818.1_prot_XP_016268629.1_1126	98.333	60	1	0	1	60	79	138	1.27E-37	127
g1642	lcl|NW_015622818.1_prot_XP_016268628.1_1125	100	310	0	0	1	310	79	388	0	629
g1643	lcl|NW_015622818.1_prot_XP_016268627.1_1124	100	473	0	0	1	473	86	558	0	987
g1644	lcl|NW_015622818.1_prot_XP_016268626.1_1123	100	475	0	0	1	475	79	553	0	971
g1646	lcl|NW_015622818.1_prot_XP_016268624.1_1121	100	586	0	0	1	586	79	664	0	1187
g1647	lcl|NW_015622818.1_prot_XP_016268623.1_1120	100	411	0	0	1	411	79	489	0	838
g1648	lcl|NW_015622824.1_prot_XP_016260826.1_8622	36.494	348	197	3	1	346	184	509	4.77E-72	231
g1649	lcl|NW_015622818.1_prot_XP_016268622.1_1119	100	707	0	0	1	707	79	785	0	1451
g165	lcl|NW_015622818.1_prot_XP_016267744.1_241	100	499	0	0	352	850	1	499	0	1031
g1650	lcl|NW_015622818.1_prot_XP_016268620.1_1117	100	673	0	0	1	673	79	751	0	1380
g1651	lcl|NW_015622818.1_prot_XP_016268619.1_1116	100	81	0	0	1	81	79	159	1.22E-54	165
g1652	lcl|NW_015622818.1_prot_XP_016268618.1_1115	99.815	540	0	1	1	539	79	618	0	1115
g1653	lcl|NW_015622818.1_prot_XP_016268617.1_1114	100	145	0	0	1	145	79	223	7.50E-95	272
g1654	lcl|NW_015622818.1_prot_XP_016268615.1_1112	100	1444	0	0	299	1742	1	1444	0	2994
g1655	lcl|NW_015622818.1_prot_XP_016268614.1_1111	94.595	111	6	0	1	111	79	189	3.32E-73	216
g1656	lcl|NW_015622818.1_prot_XP_016268612.1_1109	100	477	0	0	1	477	79	555	0	976
g1657	lcl|NW_015622818.1_prot_XP_016268611.1_1108	100	538	0	0	1	538	79	616	0	1112
g1658	lcl|NW_015622818.1_prot_XP_016268610.1_1107	99.829	1173	2	0	1	1173	79	1251	0	2416
g1659	lcl|NW_015622818.1_prot_XP_016268605.1_1102	100	402	0	0	1	402	79	480	0	839
g166	lcl|NW_015622818.1_prot_XP_016267846.1_343	56.19	210	92	0	1	210	86	295	1.83E-80	241
g1660	lcl|NW_015622818.1_prot_XP_016268604.1_1101	100	157	0	0	1	157	465	621	3.50E-112	330
g1661	lcl|NW_015622827.1_prot_XP_016258671.1_10414	100	186	0	0	1	186	119	304	7.06E-136	380
g1662	lcl|NW_015622827.1_prot_XP_016258672.1_10415	100	491	0	0	1	491	79	569	0	1014
g1663	lcl|NW_015622827.1_prot_XP_016258673.1_10416	100	1123	0	0	1	1123	79	1201	0	2322
g1664	lcl|NW_015622827.1_prot_XP_016258674.1_10417	100	370	0	0	1	370	79	448	0	766
g1666	lcl|NW_015622827.1_prot_XP_016258675.1_10418	100	142	0	0	1	142	79	220	2.33E-102	291
g1668	lcl|NW_015622827.1_prot_XP_016258676.1_10419	100	130	0	0	1	130	79	208	2.75E-95	272
g1669	lcl|NW_015622827.1_prot_XP_016258677.1_10420	77.313	335	55	3	124	441	302	632	3.20E-156	461
g167	lcl|NW_015622818.1_prot_XP_016267745.1_242	99.535	430	2	0	1	430	58	487	0	892
g1670	lcl|NW_015622827.1_prot_XP_016258680.1_10423	100	374	0	0	11	384	85	458	0	775
g1671	lcl|NW_015622827.1_prot_XP_016258681.1_10424	100	508	0	0	1	508	79	586	0	1012
g1672	lcl|NW_015622821.1_prot_XP_016263589.1_4933	46.265	415	221	1	1	415	6	418	1.22E-120	356
g1673	lcl|NW_015622827.1_prot_XP_016258683.1_10425	100	192	0	0	1	192	92	283	1.18E-143	400
g1674	lcl|NW_015622827.1_prot_XP_016258682.1_10426	100	156	0	0	1	156	79	234	3.96E-115	324
